job_title,company,location,apply_link,scraped_date,state,job_category,job_level,python_related,title_word_count,title_character_count,job_level_encoded
Equities trader,Macdonald-Ferguson,"Maloneshire, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,15,1
Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,2,20,1
Materials engineer,Smith and Sons,"South Davidtown, AP",https://www.realpython.com,2026-09-15,AP,Technology,Mid/General Level,0,2,18,1
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",https://www.realpython.com,2026-09-15,AE,Technology,Entry Level,1,3,31,0
Product/process development scientist,Gomez-Carroll,"Marktown, AA",https://www.realpython.com,2026-09-15,AA,Data & Research,Mid/General Level,0,3,37,1
"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",https://www.realpython.com,2026-09-15,AE,Data & Research,Mid/General Level,0,3,27,1
Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,1,9,1
Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",https://www.realpython.com,2026-09-15,AP,Technology,Mid/General Level,0,2,18,1
Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,4,49,1
Data scientist,Thomas Group,"Port Robertfurt, AA",https://www.realpython.com,2026-09-15,AA,Data & Research,Mid/General Level,0,2,14,1
Psychiatrist,Silva-King,"Burnettbury, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,1,12,1
Structural engineer,Pierce-Long,"Herbertside, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,0,2,19,1
Immigration officer,Walker-Simpson,"Christopherport, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,19,1
Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",https://www.realpython.com,2026-09-15,AE,Technology,Entry Level,1,3,31,0
Neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",https://www.realpython.com,2026-09-15,AP,Healthcare,Mid/General Level,0,1,12,1
Broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,0,2,18,1
Make,Snyder-Lee,"Angelastad, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,1,4,1
"Nurse, adult",Harris PLC,"Larrytown, AE",https://www.realpython.com,2026-09-15,AE,Healthcare,Mid/General Level,0,2,12,1
Air broker,Washington PLC,"West Colin, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,10,1
"Editor, film/video","Brown, Price and Campbell","West Stephanie, AP",https://www.realpython.com,2026-09-15,AP,Creative,Mid/General Level,0,2,18,1
"Production assistant, radio",Mcgee PLC,"Laurentown, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,3,27,1
"Engineer, communications",Dixon Inc,"Wrightberg, AP",https://www.realpython.com,2026-09-15,AP,Technology,Mid/General Level,0,2,24,1
Sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",https://www.realpython.com,2026-09-15,AE,Business & Management,Mid/General Level,0,2,15,1
Software Developer (Python),Adams-Brewer,"Brockburgh, AE",https://www.realpython.com,2026-09-15,AE,Technology,Mid/General Level,1,3,27,1
Futures trader,Schneider-Brady,"North Jason, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,14,1
Tour manager,Gonzales-Frank,"Arnoldhaven, AE",https://www.realpython.com,2026-09-15,AE,Business & Management,Mid/General Level,0,2,12,1
Cytogeneticist,Smith-Wong,"Lake Destiny, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,1,14,1
"Designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",https://www.realpython.com,2026-09-15,AP,Creative,Mid/General Level,0,2,20,1
Trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",https://www.realpython.com,2026-09-15,AE,Data & Research,Mid/General Level,0,4,28,1
"Chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,19,1
"Programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",https://www.realpython.com,2026-09-15,AE,Technology,Mid/General Level,0,2,22,1
"Engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,0,3,35,1
"Teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,3,23,1
Python Developer,Rivera and Sons,"East Michaelfort, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,1,2,16,1
Manufacturing systems engineer,Garcia PLC,"Joybury, AE",https://www.realpython.com,2026-09-15,AE,Technology,Mid/General Level,0,3,30,1
"Producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,31,1
"Scientist, forensic",Gonzalez LLC,"Colehaven, AP",https://www.realpython.com,2026-09-15,AP,Data & Research,Mid/General Level,0,2,19,1
Bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,12,1
Editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",https://www.realpython.com,2026-09-15,AA,Creative,Mid/General Level,0,2,19,1
Photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",https://www.realpython.com,2026-09-15,AA,Creative,Mid/General Level,0,1,12,1
Retail banker,Hill LLC,"Port Billy, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,13,1
Jewellery designer,Li-Gregory,"Adamburgh, AA",https://www.realpython.com,2026-09-15,AA,Creative,Mid/General Level,0,2,18,1
Ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,1,15,1
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,1,5,39,1
Licensed conveyancer,Abbott and Sons,"Benjaminland, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,20,1
Futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,2,14,1
Counselling psychologist,Smith PLC,"Port Devonville, AE",https://www.realpython.com,2026-09-15,AE,Healthcare,Mid/General Level,0,2,24,1
Insurance underwriter,Patterson-Singh,"East Thomas, AE",https://www.realpython.com,2026-09-15,AE,Creative,Mid/General Level,0,2,21,1
"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP",https://www.realpython.com,2026-09-15,AP,Technology,Mid/General Level,0,2,20,1
"Producer, radio","May, Taylor and Fisher","Davidside, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,2,15,1
Dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,2,19,1
"Designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",https://www.realpython.com,2026-09-15,AP,Creative,Mid/General Level,0,2,26,1
Chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,3,23,1
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,1,5,39,1
Forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",https://www.realpython.com,2026-09-15,AE,Business & Management,Mid/General Level,0,2,23,1
Clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,23,1
Print production planner,Wood Inc,"Port Jeremy, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,3,24,1
Systems developer,Collins Group,"New Elizabethtown, AA",https://www.realpython.com,2026-09-15,AA,Technology,Mid/General Level,0,2,17,1
Graphic designer,Flores-Nelson,"Charlesstad, AE",https://www.realpython.com,2026-09-15,AE,Creative,Mid/General Level,0,2,16,1
Writer,"Mitchell, Jones and Olson","Josephbury, AE",https://www.realpython.com,2026-09-15,AE,Creative,Mid/General Level,0,1,6,1
Field seismologist,Howard Group,"Seanfurt, AA",https://www.realpython.com,2026-09-15,AA,Other,Mid/General Level,0,2,18,1
Chief Strategy Officer,Kramer-Edwards,"Williambury, AA",https://www.realpython.com,2026-09-15,AA,Business & Management,Senior Level,0,3,22,2
Air cabin crew,Berry-Houston,"South Jorgeside, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,3,14,1
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",https://www.realpython.com,2026-09-15,AP,Technology,Entry Level,1,3,31,0
Warden/ranger,Riley-Johnson,"South Saratown, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,1,13,1
Sports therapist,Spencer and Sons,"Hullview, AA",https://www.realpython.com,2026-09-15,AA,Healthcare,Mid/General Level,0,2,16,1
Arts development officer,Camacho-Sanchez,"Philipland, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,3,24,1
Printmaker,Oliver and Sons,"North Patty, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,1,10,1
Health and safety adviser,Eaton PLC,"North Stephen, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,4,25,1
Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",https://www.realpython.com,2026-09-15,AP,Technology,Mid/General Level,0,3,30,1
"Programmer, applications",Bradley LLC,"Reyesstad, AE",https://www.realpython.com,2026-09-15,AE,Technology,Mid/General Level,0,2,24,1
Medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",https://www.realpython.com,2026-09-15,AP,Healthcare,Mid/General Level,0,2,17,1
Media planner,Kim-Miles,"North Johnland, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,13,1
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",https://www.realpython.com,2026-09-15,AE,Technology,Mid/General Level,1,3,27,1
"Surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,24,1
Legal executive,Hartman PLC,"West Ericstad, AA",https://www.realpython.com,2026-09-15,AA,Business & Management,Mid/General Level,0,2,15,1
"Librarian, academic",Brooks Inc,"Tuckertown, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,2,19,1
Barrister,Washington-Castillo,"Perezton, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,1,9,1
Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",https://www.realpython.com,2026-09-15,AE,Other,Mid/General Level,0,3,34,1
"Radiographer, diagnostic",Holder LLC,"Jacobshire, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,24,1
Database administrator,Yates-Ferguson,"Port Susan, AE",https://www.realpython.com,2026-09-15,AE,Data & Research,Mid/General Level,0,2,22,1
Furniture designer,Ortega-Lawrence,"North Tiffany, AA",https://www.realpython.com,2026-09-15,AA,Creative,Mid/General Level,0,2,18,1
Ship broker,"Fuentes, Walls and Castro","Michelleville, AP",https://www.realpython.com,2026-09-15,AP,Other,Mid/General Level,0,2,11,1
